model,revisions
flaubert/flaubert_base_uncased,['no_revision_available']
twadada/mpn,['external']
starsy/gte-Qwen2-7B-instruct,['external']
lightonai/modernbert-embed-large-unsupervised,['external']
barisaydin/gte-base,['external']
sentence-transformers/allenai-specter,['no_revision_available']
almanach/camembert-large,['no_revision_available']
barisaydin/bge-large-en,['external']
arkohut/jina-embeddings-v2-base-zh,['external']
zhou-xl/bi-cse,['external']
Shimin/LLaMA-embeeding,['external']
michaelfeil/ct2fast-bge-small-en-v1.5,['external']
ipipan/silver-retriever-base-v1,['no_revision_available']
ilhamdprastyo/jina-embeddings-v3-tei,['external']
jingyeom/korean_embedding_model,['external']
HIT-TMG/KaLM-embedding-multilingual-max-instruct-v1,['external']
Omartificial-Intelligence-Space/GATE-AraBert-v1,['external']
BillSYZhang/gte-Qwen2-7B-instruct-Q4-mlx,['external']
bigscience-data/sgpt-bloom-7b1-msmarco,['no_revision_available']
nthakur/contriever-base-msmarco,['no_revision_available']
chuxin-llm/Chuxin-Embedding,['external']
jinaai/jina-embedding-l-en-v1,['external']
neofung/LdIR-Qwen2-reranker-1.5B,['external']
deepfile/multilingual-e5-small-openvino,['external']
barisaydin/gte-large,['external']
Marqo/marqo-chimera-arctic-bge-m,['external']
katanemo/bge-large-en-v1.5,['external']
joteqwork/new_gsev0,['external']
DecisionOptimizationSystemProduction/DeepFeatTextEmbeddingLarge,['external']
Narsil/bge-base-en,['external']
openai/text-embedding-3-large-instruct,['no_revision_available']
liujiarik/lim_base_zh,['external']
PotatoOff/mxbai-embed-large-safetensors,['external']
ekorman-strive/bge-large-en-v1.5,['external']
castorini/mdpr-tied-pft-msmarco,['no_revision_available']
barisaydin/bge-small-en,['external']
vprelovac/universal-sentence-encoder-large-5,['external']
sentence-transformers/average_word_embeddings_glove.6B.300d,['no_revision_available']
Geolumina/instructor-xl,['external']
DivineNnamdi/jina-embeddings-v3,['external']
twadada/s2v-gcp-pca,['external']
neuralmagic/bge-small-en-v1.5-quant,['external']
delwinn/stella_en_1.5B_v5,['external']
yessilver/new_model,['external']
woody72/multilingual-e5-base,['external']
twadada/wl_sw_256,['external']
liddlefish/privacy_embedding_rag_10k_tmp,['external']
sentence-transformers/multi-qa-mpnet-base-dot-v1,['3af7c6da5b3e1bea796ef6c97fe237538cbe6e7f']
michaelfeil/ct2fast-e5-large,['external']
shubham-bgi/UAE-Large,['external']
jspringer/echo-mistral-7b-instruct-lasttoken,['external']
dangvantuan/sentence-camembert-large,['no_revision_available']
BASF-AI/nomic-embed-text-v1.5,['external']
google-bert/bert-base-multilingual-uncased,['no_revision_available']
twadada/nmc-cls-50_correct,['external']
McGill-NLP/LLM2Vec-Sheared-Llama-supervised,['no_revision_available']
vectoriseai/bge-large-en-v1.5,['external']
twadada/nmc-cls-200_correct,['external']
barisaydin/bge-base-en,['external']
Alibaba-NLP/gte-large-en-v1.5,['external']
uklfr/gottbert-base,['no_revision_available']
openai/text-embedding-3-large-256,['no_revision_available']
michaelfeil/ct2fast-bge-base-en-v1.5,['external']
silverjam/jina-embeddings-v2-base-zh,['external']
gall88/gte-Qwen2-7B-instruct-fp16,['external']
tomaarsen/mxbai-embed-large-v1-exported,['external']
neofung/LdIR-reranker-large,['external']
Aleph-Alpha/Pharia-1-Embedding-4608-control,['external']
twadada/sup-cse,['external']
liddlefish/privacy_embedding_bge_small_synthetic,['external']
qinxianliu/FAE-v1,['external']
LuminaInc/jina-embeddings-v3,['external']
twadada/mpn-wordpca,['external']
cgldo/semanticClone,['external']
weakit-v/bge-base-en-v1.5-onnx,['external']
fangxq/XYZ-embedding-zh-v2,['external']
TaylorAI/bge-micro-v2,['external']
alexlimh/jasper_en_vision_language_v1,['external']
biswa921/bge-m3,['external']
Muennighoff/SGPT-5.8B-weightedmean-msmarco-specb-bitfit,"['no_revision_available', 'external']"
silma-ai/silma-embeddding-sts-v0.1,['external']
twadada/st-mpnet_original,['external']
huizhang0110/hui-embedding,['external']
google/Gemma-Embeddings-v0.8,"['c9c76df8fa92c9f561bee6c61b4f9c13750a661c', 'external']"
jncraton/gte-tiny-ct2-int8,['external']
Muennighoff/SGPT-125M-weightedmean-msmarco-specb-bitfit-que,['no_revision_available']
twadada/nmc-300-w50k-b10k,['external']
ildodeltaRule/multilingual-e5-large,['external']
twadada/GTE256_sw,['external']
twadada/mpn-nobivec,['external']
Lenovo-Zhihui/Zhihui_LLM_Embedding,['external']
twadada/kom2,['external']
voyageai/voyage-lite-02-instruct,['no_revision_available']
omarelshehy/Arabic-STS-Matryoshka,['external']
lgbird/stella_1.5B_custom,['external']
Amu/tao-8k,['external']
Muennighoff/SGPT-5.8B-weightedmean-msmarco-specb-bitfit-que,['no_revision_available']
google-bert/bert-base-uncased,"['no_revision_available', '86b5e0934494bd15c9632b12f734a8a67f723594']"
baseplate/instructor-large-1,['external']
CAiRE/UniVaR-lambda-1,['external']
Wissam42/sentence-croissant-llm-base,['no_revision_available']
vectoriseai/gte-large,['external']
twadada/ft-gcp-pca,['external']
Forbu14/openai_clip_embeddings,['external']
rename_and_move_over.py,[]
sentosa/ZNV-Embedding,['external']
qinxianliu/FUE-v1,['external']
sentence-transformers/distiluse-base-multilingual-cased-v2,"['no_revision_available', '.gitkeep']"
hkunlp/instructor-xl,"['no_revision_available', 'external']"
vectoriseai/instructor-large,['external']
twadada/tst2,['external']
neofung/bge-reranker-large-1k,['external']
sam-babayev/zzz,['external']
chcaa/dfm-encoder-large-v1,['no_revision_available']
bennegeek/stella_en_1.5B_v5,['external']
NLPArtisan/qwen-1.8b-retrieval-test,['external']
twadada/GTE_wl_mv,['external']
AdrienB134/llm2vec-occiglot-mntp,['external']
manu/sentence_croissant_alpha_v0.1,['external']
sionic-ai/sionic-ai-v1,['external']
IEITYuan/Yuan-embedding-1.0,['external']
parasail-ai/GritLM-7B-vllm,['external']
fdehlinger/english-4U-bge-small,['external']
nomic-ai/nomic-embed-text-v1.5-512,['no_revision_available']
newsrx/instructor-xl-newsrx,['external']
neofung/m3e-ernie-xbase-zh,['external']
BAAI/bge-small-en-v1.5-instruct,['5c38ec7c405ec4b44b94cc5a9bb96e735b38267a']
michaelfeil/ct2fast-e5-small,['external']
Pristinenlp/alime-reranker-large-zh,['external']
SmartComponents/bge-micro-v2,['external']
arkohut/jina-embeddings-v3,['external']
facebookresearch/dragon-plus-instruct,['no_revision_available']
KB/bert-base-swedish-cased,['no_revision_available']
twadada/lma-nobivec,['external']
arkohut/jina-embeddings-v2-base-en,['external']
qinxianliu/FAB-Ramy-v1,['external']
binqiangliu/EmbeddingModlebgelargeENv1.5,['external']
shanghung/stella-base-zh-v3-1792d,['external']
twadada/kom,['external']
ISOISS/jina-embeddings-v3-tei,['external']
OrcaDB/cde-small-v1,['external']
vectoriseai/bge-small-en,['external']
gentlebowl/instructor-large-safetensors,['external']
facebookresearch/LASER2,['no_revision_available']
BAAI/bge-base-en-v1.5-instruct,['a5beb1e3e68b9ab74eb54cfd186867f64f240e1a']
twadada/lma_noabtt,['external']
Nextcloud-AI/multilingual-e5-large-instruct,['external']
jamesdborin/jina-v2-base-en-embed,['external']
benayad7/concat-e5-small-bge-small-01,['external']
twadada/nmc-cls-500_correct,['external']
nomic-ai/modernbert-embed-base-unsupervised,['external']
twadada/ft-lower,['external']
qihoo360/360Zhinao-search,['external']
shibing624/text2vec-large-chinese,['no_revision_available']
barisaydin/gte-small,['external']
tomaarsen/mxbai-embed-large-v1-test,['external']
McGill-NLP/LLM2Vec-Meta-Llama-3-supervised,['no_revision_available']
radames/e5-large,['external']
twadada/nmc-cls-nobiv,['external']
sentence-transformers/use-cmlm-multilingual,['no_revision_available']
willalexm/potion-base-8M-stf,['external']
sensenova/piccolo-large-zh,['external']
twadada/nmc-nignore50,['external']
akarum/cloudy-large-zh,['external']
vectoriseai/e5-large,['external']
deepset/gbert-large,['no_revision_available']
liddlefish/privacy_embedding_rag,['external']
davidpeer/gte-small,['external']
jncraton/gte-small-ct2-int8,['external']
Lajavaness/bilingual-embedding-large-8k,['external']
twadada/lma-wordpca,['external']
allenai/scibert_scivocab_uncased,['24f92d32b1bfb0bcaf9ab193ff3ad01e87732fc1']
newsrx/instructor-large,['external']
Frazic/udever-bloom-3b-sentence,['external']
McGill-NLP/LLM2Vec-Mistral-supervised,['no_revision_available']
vesteinn/DanskBERT,['no_revision_available']
Labib11/MUG-B-1.6,['external']
mukaj/fin-mpnet-base,['external']
Muennighoff/SGPT-125M-weightedmean-msmarco-specb-bitfit,"['no_revision_available', 'external']"
VectorStackAI/vstackai-law-1,['external']
goldenrooster/multilingual-e5-large,['external']
anttip/ct2fast-e5-small-v2-hfie,['external']
Geotrend/bert-base-15lang-cased,['no_revision_available']
vectoriseai/e5-base,['external']
facebook/contriever,['2bd46a25019aeea091fd42d1f0fd4801675cf699']
google/text-embedding-004-256,['no_revision_available']
twadada/nmc-cls-300_correct,['external']
CAiRE/UniVaR-lambda-20,['external']
iamgroot42/rover_nexus,['external']
flaubert/flaubert_large_cased,['no_revision_available']
twadada/lma,['external']
abhinand/MedEmbed-large-v0.1,['e621837c7904456dc37d689f97e654424de62318']
vprelovac/universal-sentence-encoder-4,['external']
twadada/nmc-prmt-and-emb,['external']
twadada/nmc-prmpt,['external']
qihoo360/360Zhinao-1.8B-Reranking,['external']
neuralmagic/bge-small-en-v1.5-sparse,['external']
GameScribes/stella_en_400M_v5,['external']
CAiRE/UniVaR-lambda-80,['external']
OysterHR/gte-base-en-v1.5,['external']
pingkeest/learning2_model,['external']
distilbert/distilbert-base-uncased,['no_revision_available']
orionweller/tart-dual-contriever-msmarco,['no_revision_available']
twadada/nmc-300-w30k-b10k,['external']
twadada/nmc-300-w75k-b10k,['external']
bijaygurung/stella_en_400M_v5,['external']
vectoriseai/gte-small,['external']
dumyy/sft-bge-small,['external']
sam-babayev/sf_model_e5,['external']
sentence-transformers/all-mpnet-base-v2-instruct,['84f2bcc00d77236f9e89c8a360a00fb1139bf47d']
Koat/gte-tiny,['external']
almanach/camembert-base,['no_revision_available']
ClayAtlas/winberta-large,['external']
retrainai/instructor-xl,['external']
intfloat/e5-mistral-7b-instruct-noinstruct,['07163b72af1488142a360786df853f237b1a3ca1']
Amu/tao,['external']
aws-neuron/bge-base-en-v1-5-seqlen-384-bs-1,['external']
princeton-nlp/unsup-simcse-bert-base-uncased,['no_revision_available']
twadada/GTE512_sw,['external']
Research2NLP/electrical_stella,['external']
compressa-ai/Compressa-Embeddings,['external']
giulio98/placeholder,['external']
Alignment-Lab-AI/e5-mistral-7b-instruct,['external']
twadada/mxb,['external']
facebook/dpr-ctx_encoder-multiset-base,['no_revision_available']
twadada/mpn-noabtt,['external']
openai/text-similarity-babbage-001,['no_revision_available']
Shimin/yiyouliao,['external']
omarelshehy/Arabic-Retrieval-v1.0,['external']
twadada/nmc-cls-noabtt,['external']
Geotrend/distilbert-base-fr-cased,['no_revision_available']
