model,revision_retained,deleted_revisions,num_deleted_revisions
Alibaba-NLP/gte-Qwen1.5-7B-instruct,07d27e5226328010336563bc1b564a5e3436a298,"external, no_revision_available",2
Alibaba-NLP/gte-Qwen2-1.5B-instruct,c6c1b92f4a3e1b92b326ad29dd3c8433457df8dd,external,1
Alibaba-NLP/gte-Qwen2-7B-instruct,e26182b2122f4435e8b3ebecbf363990f409b45b,external,1
Alibaba-NLP/gte-multilingual-base,"7fc06782350c1a83f88b15dd4b38ef853d3b8503, ca1791e0bcc104f6db161f27de1340241b13c5a4","7fc06782350c1a83f88b15dd4b38ef853d3b8503, external",2
BAAI/bge-base-en,b737bf5dcc6ee8bdc530531266b4804a5d77b5d8,external,1
BAAI/bge-base-en-v1.5,a5beb1e3e68b9ab74eb54cfd186867f64f240e1a,external,1
BAAI/bge-base-zh-v1.5,f03589ceff5aac7111bd60cfc7d497ca17ecac65,no_revision_available,1
BAAI/bge-large-en,abe7d9d814b775ca171121fb03f394dc42974275,external,1
BAAI/bge-large-en-v1.5,d4aa6901d3a41ba39fb536a557fa166f842b0e09,"external, no_revision_available",2
BAAI/bge-large-zh-v1.5,79e7739b6ab944e86d6171e44d24c997fc1e0116,no_revision_available,1
BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,no_revision_available,1
BAAI/bge-small-en,2275a7bdee235e9b4f01fa73aa60d3311983cfea,external,1
BAAI/bge-small-en-v1.5,5c38ec7c405ec4b44b94cc5a9bb96e735b38267a,external,1
BAAI/bge-small-zh-v1.5,7999e1d3359715c523056ef9478215996d62a620,no_revision_available,1
ByteDance-Seed/Seed1.5-Embedding,4,"1, 2, 3",3
ByteDance/ListConRanker,95ae6a5f422a916bc36520f0f3e198e7d91520a0,"2852d459b0e3942733da8756b809f3659649d5a6, external",2
Cohere/Cohere-embed-english-light-v3.0,1,external,1
Cohere/Cohere-embed-english-v3.0,1,"external, no_revision_available",2
Cohere/Cohere-embed-multilingual-light-v3.0,1,"external, no_revision_available",2
Cohere/Cohere-embed-multilingual-v3.0,1,"external, no_revision_available",2
DMetaSoul/Dmeta-embedding-zh-small,2050d3439a2f68999dd648c1697471acaac37a29,external,1
DMetaSoul/sbert-chinese-general-v1,bd27765956bcc2fcf682de0097819947ac10037e,external,1
Gameselo/STS-multilingual-mpnet-base-v2,449f917af30f590fc31f9ffb226c94f21a2f47b8,external,1
GritLM/GritLM-8x7B,7f089b13e3345510281733ca1e6ff871b5b4bc76,external,1
HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v1,45e42c89990c40aca042659133fc8b13c28634b5,external,1
HIT-TMG/KaLM-embedding-multilingual-mini-v1,8a82a0cd2b322b91723e252486f7cce6fd8ac9d3,external,1
Haon-Chen/speed-embedding-7b-instruct,c167e9a8144b397622ce47b85d9edcdeecef3d3f,external,1
Hum-Works/lodestone-base-4096-v1,9bbc2d0b57dd2198aea029404b0f976712a7d966,external,1
Human,2025_09_25,"annotator_a7e82e0b-ad1c-450d-b9ff-7502e96815d6, annotator_d215cdb8-cd38-4af5-8d35-3d237ddec07a, annotator_fa668689-538c-4dc3-a9b4-b1ca70a237e9, v1.0",4
Jaume/gemma-2b-embeddings,86431f65d7c3f66b2af096c61e614a2958f191f1,external,1
Lajavaness/bilingual-embedding-base,0bfc54bb2aa2666dd84715289c7ef58a95eb4d8d,external,1
Lajavaness/bilingual-embedding-large,e83179d7a66e8aed1b3015e98bb5ae234ed89598,external,1
Lajavaness/bilingual-embedding-small,ed4a1dd814de0db81d4a4e287c296a03194463e3,external,1
Linq-AI-Research/Linq-Embed-Mistral,0c1a0b0589177079acc552433cad51d7c9132379,external,1
McGill-NLP/LLM2Vec-Llama-2-7b-chat-hf-mntp-supervised,N/A,"external, no_revision_available",2
McGill-NLP/LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-supervised,baa8ebf04a1c2500e61288e7dad65e8ae42601a7,external,1
McGill-NLP/LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-unsup-simcse,1cb7b735326d13a8541db8f57f35da5373f5e9c6,external,1
McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised,0ae69bdd5816105778b971c3138e8f8a18eaa3ae,external,1
McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-unsup-simcse,2c055a5d77126c0d3dc6cd8ffa30e2908f4f45f8,external,1
McGill-NLP/LLM2Vec-Sheared-LLaMA-mntp-supervised,a5943d406c6b016fef3f07906aac183cf1a0b47d,external,1
Mihaiii/Bulbasaur,6876f839e18ae36224049a41194a431953f08747,external,1
Mihaiii/Ivysaur,65914d976f45beb4bda7485c39d88865b4ce6554,external,1
Mihaiii/Squirtle,5b991da48a9286637a256d4a35aab87a1a57b78a,external,1
Mihaiii/Venusaur,0dc817f0addbb7bab8feeeeaded538f9ffeb3419,external,1
Mihaiii/Wartortle,14caca5253414d38a7d28b62d1b7c30ef3293a87,external,1
Mihaiii/gte-micro,6fd2397cb9dfa7c901aedf9a2a44d3c888ccafdd,external,1
Mihaiii/gte-micro-v4,78e1a4b348f8524c3ab2e3e3475788f5adb8c98f,external,1
NovaSearch/jasper_en_vision_language_v1,"b63cc243c0c027ac3dbe7735c9bd1049e0741d13, d6330ce98f8a0d741e781df845904c9484f00efa","b63cc243c0c027ac3dbe7735c9bd1049e0741d13, external",2
NovaSearch/stella_en_1.5B_v5,d03be74b361d4eb24f42a2fe5bd2e29917df4604,external,1
NovaSearch/stella_en_400M_v5,1bb50bc7bb726810eac2140e62155b88b0df198f,external,1
Omartificial-Intelligence-Space/Arabert-all-nli-triplet-Matryoshka,d0361a36f6fe69febfc8550d0918abab174f6f30,external,1
Omartificial-Intelligence-Space/Arabic-MiniLM-L12-v2-all-nli-triplet,6916465c43b984e955aa6dc72851474f0128f428,external,1
Omartificial-Intelligence-Space/Arabic-Triplet-Matryoshka-V2,ed357f222f0b6ea6670d2c9b5a1cb93950d34200,external,1
Omartificial-Intelligence-Space/Arabic-all-nli-triplet-Matryoshka,1ca467cc576bd76666a4d21b24ee43afa914dd10,external,1
Omartificial-Intelligence-Space/Arabic-labse-Matryoshka,ee6d5e33c78ed582ade47fd452a74ea52aa5bfe2,external,1
Omartificial-Intelligence-Space/Arabic-mpnet-base-all-nli-triplet,2628cb641e040f44328195fadcdfb58e6d5cffa7,external,1
Omartificial-Intelligence-Space/Marbert-all-nli-triplet-Matryoshka,ecf3274e164f057c4a3dd70691cae0265d87a9d0,external,1
